Shipment_ID,Order_ID,Customer_Name,Source_City,Destination_City,Shipment_Date,Delivery_Date,Transport_Mode,Weight_kg,Distance_km,Vendor,Cost,Selling_Price,Delivery_Status,Damage_Flag,Delivery_Time_Days,Return_Reason,Driver_Rating,Vehicle_Type,Fuel_Consumption_Litres
10017,11420,John,Bangalore,Unknown,2021-10-18,2023-05-07,Rail,0.0,400.0,DHL,0.0,1600.0,,,9.0,Damaged,0.0,Mini Van,20.0
10018,6184,NULL,,Unknown,2021-06-23,2021-10-12,Rail,0.0,,BlueDart,0.0,0.0,Cancelled,1.0,6.0,Wrong Item,,Unknown,-10.0
10019,9555,NaN,Unknown,Unknown,2021-10-25,2021-06-17,Air,10.0,50.0,FedEx,200.0,2000.0,Cancelled,0.0,2.0,NULL,3.0,Bike,30.0
10020,8385,Vikram,Coimbatore,Chennai,2022-11-27,2021-03-13,Unknown,0.0,300.0,FedEx,1500.0,700.0,Delivered,,5.0,NULL,5.0,Mini Van,25.0
10021,11396,John,Coimbatore,Delhi,2021-07-06,2021-04-23,Rail,15.0,300.0,Unknown,1500.0,1600.0,Returned,0.0,3.0,NaN,4.0,Bike,20.0
10022,13666,NaN,,Bangalore,2021-05-02,2022-02-25,Unknown,,-20.0,Gati,800.0,1600.0,Delayed,0.0,-1.0,Wrong Item,0.0,Bike,20.0
10023,14274,John,Pune,,2022-04-23,2021-02-10,,-5.0,100.0,Gati,1500.0,1600.0,Unknown,0.0,6.0,NaN,2.0,Container,10.0
10024,7558,Vikram,,Pune,2021-03-14,2021-02-08,,20.0,150.0,BlueDart,800.0,300.0,Unknown,1.0,,NULL,3.0,Truck,10.0
10025,12849,Aisha,Unknown,Unknown,2021-12-24,2022-10-15,Rail,30.0,150.0,Unknown,,,Cancelled,1.0,5.0,NULL,0.0,,25.0
10026,7047,Vikram,Bangalore,Coimbatore,2021-11-28,2023-01-07,,-5.0,200.0,FedEx,1000.0,,Delivered,1.0,10.0,NaN,,Unknown,
10027,7747,NaN,Kolkata,Kolkata,2022-03-31,2021-04-05,Unknown,25.0,100.0,Gati,,300.0,Returned,1.0,,Damaged,3.0,Truck,25.0
10028,14167,John,Hyderabad,,2022-10-12,2021-02-21,,5.0,,Gati,1000.0,1600.0,Returned,,1.0,Damaged,1.0,Mini Van,25.0
10029,14998,,Kolkata,Kolkata,2022-11-15,2022-07-04,Road,15.0,200.0,FedEx,200.0,700.0,In Transit,1.0,10.0,NaN,0.0,Unknown,25.0
10030,5189,NULL,Hyderabad,Pune,2021-01-30,2022-07-29,Unknown,-5.0,100.0,Unknown,-100.0,1200.0,Delivered,0.0,10.0,Damaged,2.0,Unknown,10.0
10031,7734,NULL,Coimbatore,Pune,2022-11-17,2021-11-12,Sea,15.0,400.0,FedEx,500.0,1600.0,Delivered,,-1.0,Late,4.0,Container,20.0
10032,8005,,Mumbai,,2021-11-23,2022-01-28,,10.0,150.0,ABC Logistics,500.0,2000.0,In Transit,0.0,2.0,Wrong Item,2.0,Bike,10.0
10033,9658,,Unknown,Coimbatore,2022-09-03,2021-06-19,,20.0,,,-100.0,0.0,Unknown,1.0,,Damaged,,Truck,-10.0
10034,6899,Aisha,Kolkata,Chennai,2022-11-11,2021-09-30,Unknown,25.0,400.0,Gati,,0.0,Delayed,0.0,5.0,NULL,4.0,Bike,15.0
10035,12734,NaN,,Mumbai,2023-05-02,2022-12-06,Air,,,BlueDart,1500.0,,Unknown,0.0,-1.0,Late,0.0,Bike,15.0
10036,6267,Ram,Bangalore,Pune,2022-08-23,2022-02-16,Sea,,200.0,Unknown,500.0,0.0,Cancelled,0.0,6.0,Wrong Item,1.0,Container,
10037,6528,Vikram,Bangalore,Coimbatore,2022-11-01,2023-01-03,Sea,-5.0,100.0,DHL,1000.0,1200.0,,0.0,1.0,Damaged,,Unknown,20.0
10038,8556,NULL,Pune,Pune,2022-04-25,2021-11-30,Sea,0.0,150.0,DHL,200.0,300.0,In Transit,1.0,7.0,Damaged,,Unknown,25.0
10039,8890,,Bangalore,Hyderabad,2021-12-24,2022-02-22,Rail,10.0,150.0,FedEx,1000.0,300.0,Cancelled,0.0,3.0,Wrong Item,5.0,Truck,20.0
10040,13838,Vikram,Bangalore,Mumbai,2021-10-12,2022-08-15,Road,0.0,-20.0,,0.0,1200.0,,0.0,1.0,Damaged,2.0,Container,15.0
10041,10393,NULL,Mumbai,Pune,2021-09-12,2022-07-08,Road,0.0,,Unknown,800.0,,Delivered,0.0,7.0,NaN,3.0,Bike,
10042,13792,,,Coimbatore,2021-08-16,2021-10-20,Air,25.0,,Unknown,1500.0,,Unknown,0.0,7.0,Wrong Item,4.0,Truck,20.0
10043,13433,NaN,Coimbatore,Pune,2022-12-19,2022-06-16,Sea,15.0,,BlueDart,1500.0,2000.0,In Transit,1.0,10.0,Wrong Item,2.0,Unknown,25.0
10044,12513,NULL,Bangalore,Kolkata,2022-09-22,2022-12-13,Sea,-5.0,50.0,ABC Logistics,500.0,300.0,,0.0,3.0,NULL,4.0,Bike,-10.0
10045,7612,Aisha,Coimbatore,,2023-02-05,2021-03-16,,,-20.0,Gati,-100.0,300.0,Delayed,,6.0,Wrong Item,2.0,Bike,-10.0
10046,12041,Ram,Mumbai,,2021-10-15,2021-02-23,Unknown,5.0,200.0,ABC Logistics,800.0,1600.0,Cancelled,,4.0,,3.0,Truck,-10.0
10047,14555,Ram,Bangalore,Pune,2023-03-13,2021-10-08,Rail,0.0,50.0,Unknown,500.0,700.0,Unknown,0.0,4.0,Damaged,4.0,,
10048,11235,,Unknown,Coimbatore,2022-11-13,2021-08-24,Rail,25.0,-20.0,BlueDart,0.0,2000.0,Cancelled,0.0,9.0,NULL,4.0,Container,
10049,10486,NULL,Pune,Kolkata,2021-04-18,2022-12-09,Air,30.0,,ABC Logistics,500.0,1600.0,Cancelled,1.0,7.0,Late,5.0,Mini Van,10.0
10050,12099,Aisha,Kolkata,Chennai,2022-04-21,2022-02-15,Road,-5.0,,FedEx,500.0,0.0,Delivered,,6.0,,1.0,Unknown,25.0
10051,14670,Sita,Unknown,Chennai,2022-11-15,2022-05-26,Sea,0.0,150.0,DHL,800.0,700.0,Unknown,1.0,-1.0,Wrong Item,2.0,Bike,10.0
10052,5775,Vikram,Delhi,Kolkata,2022-02-16,2022-08-04,Unknown,15.0,200.0,FedEx,500.0,0.0,,0.0,9.0,Late,3.0,Unknown,-10.0
10053,13226,Vikram,Chennai,Bangalore,2022-04-03,2021-10-26,Air,25.0,200.0,Gati,0.0,300.0,Cancelled,,3.0,Late,0.0,Container,15.0
10054,8152,John,Bangalore,Coimbatore,2022-12-12,2022-05-26,Rail,20.0,400.0,FedEx,1500.0,700.0,Returned,,-1.0,Late,5.0,Container,-10.0
10055,6585,Aisha,Coimbatore,Chennai,2021-08-03,2021-08-08,Rail,5.0,300.0,BlueDart,-100.0,300.0,Unknown,1.0,4.0,Late,5.0,Truck,30.0
10056,8943,NULL,Chennai,Bangalore,2022-05-29,2021-04-24,Rail,25.0,-20.0,Unknown,500.0,,Cancelled,0.0,9.0,NULL,1.0,Truck,20.0
10057,12555,NaN,Hyderabad,Coimbatore,2021-03-02,2021-05-02,Sea,,100.0,BlueDart,800.0,1600.0,Delivered,,4.0,NULL,0.0,Truck,30.0
10058,8073,NaN,Bangalore,Kolkata,2022-04-03,2021-01-26,Sea,5.0,300.0,Gati,800.0,300.0,In Transit,1.0,7.0,Late,3.0,Container,25.0
10059,6021,John,Delhi,Unknown,2023-05-10,2021-08-10,Sea,20.0,300.0,Gati,-100.0,700.0,Cancelled,,9.0,,0.0,Truck,10.0
10060,8843,,Mumbai,Bangalore,2022-03-24,2021-02-12,,30.0,,DHL,-100.0,1600.0,Cancelled,0.0,4.0,Damaged,,Mini Van,25.0
10061,12989,NULL,Pune,Bangalore,2022-06-09,2023-04-02,Road,-5.0,150.0,ABC Logistics,1000.0,700.0,In Transit,0.0,9.0,NaN,2.0,Container,25.0
10062,14692,John,Delhi,Pune,2022-08-22,2021-10-17,Rail,0.0,400.0,DHL,500.0,700.0,,0.0,7.0,Damaged,4.0,Truck,15.0
10063,11873,Ram,Coimbatore,Delhi,2021-02-21,2021-02-06,Rail,10.0,100.0,FedEx,800.0,1200.0,,1.0,4.0,NULL,1.0,Bike,25.0
10064,10675,Vikram,Mumbai,Delhi,2021-08-13,2022-12-02,,15.0,,ABC Logistics,,300.0,Returned,0.0,3.0,,4.0,Container,20.0
10065,5161,NULL,Kolkata,Coimbatore,2021-07-17,2023-01-29,Rail,25.0,,Gati,500.0,300.0,Delivered,1.0,6.0,,5.0,,15.0
10066,9297,John,Mumbai,Pune,2022-12-14,2021-12-19,Rail,,300.0,BlueDart,200.0,700.0,In Transit,,3.0,Wrong Item,4.0,,30.0
10067,5995,Ram,Bangalore,,2023-01-21,2022-08-11,Sea,15.0,300.0,FedEx,-100.0,0.0,Delivered,0.0,7.0,NULL,2.0,Container,25.0
10068,12629,Aisha,Chennai,Mumbai,2023-04-01,2022-09-11,Sea,,200.0,DHL,1500.0,,,1.0,1.0,,,Container,30.0
10069,14467,John,Chennai,Unknown,2022-03-14,2022-12-23,Road,25.0,150.0,Unknown,1500.0,300.0,In Transit,1.0,7.0,,2.0,,20.0
10070,6016,,Coimbatore,Mumbai,2022-02-26,2021-03-26,Rail,30.0,300.0,,,2000.0,Delayed,1.0,3.0,Damaged,,Bike,20.0
10071,12869,,Mumbai,Bangalore,2021-06-16,2021-05-24,Air,30.0,100.0,,500.0,,Returned,0.0,9.0,,4.0,Bike,20.0
10072,11439,,Delhi,Hyderabad,2021-05-28,2022-06-27,Rail,20.0,50.0,Gati,0.0,,Delayed,1.0,6.0,,4.0,Bike,-10.0
10073,12892,NULL,Coimbatore,Chennai,2022-05-30,2021-12-10,Rail,0.0,,Unknown,1500.0,,,0.0,7.0,Late,1.0,Mini Van,30.0
10074,11863,NaN,Pune,Chennai,2021-06-28,2022-10-27,Road,-5.0,50.0,ABC Logistics,-100.0,300.0,Unknown,0.0,9.0,Damaged,,Unknown,30.0
10075,12916,NaN,Coimbatore,Pune,2023-06-08,2022-03-03,Air,10.0,150.0,,1500.0,,In Transit,,6.0,Damaged,2.0,Unknown,10.0
10076,13529,Vikram,Coimbatore,Delhi,2021-10-06,2021-05-05,Rail,-5.0,50.0,ABC Logistics,0.0,,,,10.0,Late,4.0,Mini Van,15.0
10077,5878,John,Kolkata,Hyderabad,2021-04-17,2022-07-24,Unknown,20.0,200.0,BlueDart,200.0,1600.0,In Transit,0.0,,Damaged,3.0,Bike,
10078,14268,Aisha,Unknown,Pune,2021-09-19,2022-12-08,Unknown,30.0,200.0,Gati,1500.0,300.0,Delivered,,2.0,Wrong Item,1.0,,25.0
10079,9887,John,Bangalore,Bangalore,2022-12-15,2022-12-13,Air,,100.0,Gati,1500.0,,In Transit,1.0,6.0,NaN,1.0,Mini Van,15.0
10080,9859,Vikram,Kolkata,Hyderabad,2021-07-29,2023-05-27,Unknown,20.0,400.0,FedEx,800.0,0.0,,0.0,6.0,Wrong Item,0.0,Truck,20.0
10081,11331,Ram,Chennai,Chennai,2023-02-24,2021-12-15,Sea,0.0,150.0,FedEx,1500.0,2000.0,Delivered,,2.0,NULL,1.0,Unknown,25.0
10082,13571,Vikram,Chennai,Coimbatore,2021-01-07,2022-01-01,Sea,0.0,150.0,Unknown,500.0,,Delivered,1.0,7.0,NaN,1.0,Mini Van,10.0
10083,13684,,Hyderabad,Bangalore,2022-06-01,2021-04-28,Air,5.0,,ABC Logistics,1500.0,700.0,In Transit,0.0,-1.0,Damaged,,,15.0
10084,12208,NULL,Hyderabad,Pune,2021-08-09,2022-11-17,Rail,0.0,50.0,,500.0,300.0,Delivered,1.0,9.0,Damaged,,,20.0
10085,10276,Ram,Delhi,,2022-03-16,2023-06-15,Air,15.0,300.0,,1500.0,1600.0,,0.0,10.0,Wrong Item,4.0,Container,25.0
10086,7062,NULL,Chennai,Kolkata,2023-02-10,2022-10-15,Unknown,25.0,300.0,DHL,500.0,2000.0,Unknown,,4.0,NULL,5.0,,-10.0
10087,5064,,Unknown,Bangalore,2022-11-05,2022-07-16,Air,0.0,400.0,ABC Logistics,1500.0,1200.0,Returned,1.0,,NULL,0.0,Bike,25.0
10088,13006,Sita,Kolkata,Bangalore,2021-12-29,2021-06-01,Unknown,30.0,,,-100.0,700.0,Delayed,,5.0,Wrong Item,3.0,,20.0
10089,7568,Vikram,Pune,,2021-11-30,2022-01-29,Sea,20.0,300.0,FedEx,,700.0,In Transit,1.0,6.0,Wrong Item,5.0,Mini Van,30.0
10090,10463,Vikram,Unknown,Unknown,2022-03-22,2022-03-27,Air,20.0,400.0,FedEx,-100.0,700.0,Delivered,1.0,1.0,NaN,5.0,Mini Van,-10.0
10091,7027,Aisha,Hyderabad,Coimbatore,2022-03-30,2022-05-22,,20.0,-20.0,FedEx,500.0,2000.0,Delivered,1.0,8.0,Late,4.0,Mini Van,15.0
10092,7695,John,Mumbai,,2022-06-16,2023-02-19,Unknown,30.0,,ABC Logistics,1500.0,300.0,,1.0,-1.0,NULL,1.0,,-10.0
10093,14687,Ram,Unknown,Mumbai,2021-08-11,2021-11-28,,,-20.0,Gati,0.0,300.0,Delivered,,9.0,NULL,1.0,Bike,25.0
10094,10258,NaN,Unknown,Mumbai,2023-01-09,2022-10-02,Sea,25.0,100.0,Unknown,200.0,,Delivered,1.0,1.0,Late,4.0,Unknown,30.0
10095,10618,NULL,Unknown,Bangalore,2021-05-31,2021-10-20,Rail,0.0,150.0,DHL,800.0,,Returned,,4.0,Wrong Item,4.0,Bike,10.0
10096,11736,Ram,Unknown,Unknown,2022-04-21,2022-02-27,Unknown,,50.0,DHL,-100.0,300.0,Unknown,1.0,6.0,Late,,Container,25.0
10097,5391,Aisha,Unknown,Chennai,2023-06-06,2023-02-13,Rail,0.0,100.0,FedEx,800.0,0.0,In Transit,0.0,10.0,Late,2.0,Truck,25.0
10098,10892,Aisha,Hyderabad,Unknown,2021-05-04,2022-09-02,Sea,20.0,200.0,BlueDart,800.0,,In Transit,0.0,1.0,,1.0,Bike,-10.0
10099,8561,NULL,Chennai,Mumbai,2021-12-26,2021-09-03,Rail,0.0,200.0,ABC Logistics,0.0,0.0,,1.0,3.0,NULL,3.0,Unknown,10.0
10100,11184,NaN,Coimbatore,Unknown,2022-09-29,2023-01-09,Unknown,30.0,200.0,,800.0,300.0,Returned,0.0,7.0,Wrong Item,2.0,Unknown,10.0
10101,8099,John,Unknown,Unknown,2022-02-01,2023-05-04,Road,15.0,400.0,,-100.0,700.0,Returned,1.0,8.0,,5.0,Mini Van,
10102,11278,NULL,Unknown,Coimbatore,2021-11-22,2021-06-19,Unknown,0.0,400.0,Unknown,0.0,1200.0,Returned,,8.0,NaN,0.0,Container,
10103,13392,NULL,Bangalore,Bangalore,2023-03-25,2021-11-30,Unknown,,,Gati,200.0,700.0,In Transit,0.0,5.0,,,Unknown,25.0
10104,8104,,Chennai,Coimbatore,2023-05-02,2023-06-20,,25.0,150.0,FedEx,,0.0,Unknown,1.0,1.0,,,Bike,20.0
10105,12215,NaN,Coimbatore,Chennai,2023-01-25,2023-03-24,Road,20.0,200.0,BlueDart,,,Cancelled,1.0,1.0,Wrong Item,1.0,Bike,10.0
10106,7454,John,Pune,Chennai,2022-04-09,2021-03-21,Road,5.0,400.0,FedEx,200.0,1200.0,,,8.0,Late,4.0,Truck,30.0
10107,13996,Vikram,Pune,Mumbai,2023-05-08,2021-06-30,Road,15.0,,BlueDart,-100.0,1200.0,,,5.0,Wrong Item,4.0,Truck,10.0
10108,7731,,Mumbai,Pune,2022-02-15,2021-12-09,Unknown,10.0,400.0,DHL,1500.0,300.0,Delayed,1.0,,NULL,0.0,Truck,25.0
10109,13154,Sita,,,2021-08-28,2023-03-16,Sea,0.0,300.0,BlueDart,200.0,1600.0,Returned,1.0,9.0,NaN,4.0,Bike,25.0
10110,14762,NaN,Kolkata,Delhi,2023-02-06,2022-08-27,Road,0.0,400.0,DHL,800.0,2000.0,Returned,1.0,1.0,NaN,1.0,Unknown,15.0
10111,10056,John,Bangalore,Bangalore,2021-06-13,2022-05-22,Air,25.0,200.0,DHL,0.0,1600.0,In Transit,1.0,2.0,NaN,,Bike,30.0
10112,13110,Aisha,Chennai,Pune,2022-09-29,2022-11-05,Rail,25.0,100.0,ABC Logistics,-100.0,1200.0,Unknown,1.0,4.0,NULL,3.0,Mini Van,15.0
10113,8840,,Chennai,Bangalore,2023-03-11,2022-08-21,Sea,20.0,200.0,Unknown,-100.0,1600.0,,1.0,10.0,Late,4.0,,10.0
10114,6028,John,,,2023-02-11,2022-11-19,Air,5.0,,BlueDart,,,In Transit,,,Wrong Item,,Truck,15.0
10115,12385,Ram,Mumbai,,2021-09-07,2021-04-12,Unknown,5.0,,Gati,1000.0,1200.0,Unknown,0.0,7.0,Late,1.0,Mini Van,25.0
10116,5502,NULL,Delhi,Hyderabad,2022-12-06,2021-07-11,Unknown,30.0,,Gati,1500.0,700.0,Delayed,1.0,4.0,Late,5.0,Mini Van,-10.0
10117,11910,Sita,Hyderabad,Coimbatore,2021-07-16,2023-06-09,Air,20.0,300.0,BlueDart,500.0,,Delivered,1.0,8.0,Wrong Item,2.0,Unknown,20.0
10118,14062,Vikram,Mumbai,Mumbai,2022-12-02,2021-06-12,,20.0,200.0,Unknown,,700.0,In Transit,,7.0,NULL,1.0,Container,10.0
10119,11938,NULL,Coimbatore,Hyderabad,2023-03-05,2021-04-08,,15.0,50.0,ABC Logistics,800.0,,Unknown,0.0,5.0,Wrong Item,1.0,Mini Van,25.0
10120,9488,Ram,Mumbai,Chennai,2022-01-28,2023-01-16,Air,-5.0,300.0,Gati,0.0,300.0,Unknown,,7.0,NaN,,Truck,10.0
10121,5206,Ram,,Delhi,2021-11-06,2022-12-24,,15.0,150.0,FedEx,,0.0,Delayed,,8.0,NULL,4.0,,15.0
10122,10134,Sita,,Mumbai,2022-07-06,2021-11-12,Rail,0.0,200.0,Gati,0.0,,Unknown,1.0,3.0,Damaged,0.0,Mini Van,15.0
10123,10977,Vikram,Kolkata,Chennai,2021-07-17,2022-06-01,Rail,10.0,400.0,ABC Logistics,800.0,2000.0,In Transit,1.0,3.0,Damaged,2.0,Bike,
10124,12721,Aisha,Bangalore,Unknown,2021-01-16,2022-11-23,Unknown,20.0,100.0,DHL,800.0,700.0,In Transit,,2.0,Damaged,2.0,Bike,10.0
10125,12035,,Unknown,Coimbatore,2021-11-28,2022-05-19,,5.0,200.0,DHL,,,In Transit,1.0,4.0,NaN,4.0,Mini Van,
10126,6484,NaN,Pune,Coimbatore,2021-02-14,2021-06-16,Road,25.0,100.0,DHL,,2000.0,Cancelled,1.0,,,3.0,Truck,10.0
10127,12858,Vikram,,Coimbatore,2022-08-04,2021-07-15,Air,10.0,,ABC Logistics,,300.0,Unknown,1.0,4.0,NULL,1.0,Unknown,15.0
10128,5863,NaN,Kolkata,Hyderabad,2021-05-05,2023-05-16,Rail,5.0,,DHL,200.0,,Cancelled,0.0,4.0,NULL,4.0,Unknown,10.0
10129,7790,John,Hyderabad,Kolkata,2021-01-02,2022-04-20,,5.0,50.0,Unknown,,0.0,Returned,0.0,2.0,Wrong Item,0.0,,
10130,12408,Ram,Pune,Pune,2021-03-25,2022-04-17,,10.0,150.0,DHL,0.0,2000.0,Cancelled,1.0,7.0,NULL,,,15.0
10131,13755,John,Delhi,,2021-12-03,2021-05-10,Rail,25.0,400.0,ABC Logistics,500.0,0.0,Delayed,,10.0,Wrong Item,3.0,Truck,
10132,10116,Aisha,Chennai,Delhi,2021-01-18,2022-08-11,Rail,-5.0,300.0,FedEx,1500.0,,In Transit,0.0,3.0,,4.0,Bike,10.0
10133,11019,John,Hyderabad,,2021-04-02,2023-04-13,Road,30.0,-20.0,Gati,800.0,700.0,Cancelled,,-1.0,Wrong Item,5.0,Bike,-10.0
10134,6757,Vikram,Delhi,Kolkata,2021-09-25,2022-01-27,,20.0,-20.0,ABC Logistics,-100.0,700.0,,1.0,10.0,Damaged,3.0,Unknown,20.0
10135,12574,John,Pune,Unknown,2022-08-13,2023-01-13,,15.0,300.0,ABC Logistics,,1600.0,In Transit,,1.0,Wrong Item,0.0,Unknown,10.0
10136,11374,Aisha,Hyderabad,Unknown,2022-05-06,2023-04-06,Sea,0.0,150.0,BlueDart,500.0,1600.0,Delivered,,2.0,Wrong Item,,Container,10.0
10137,11892,Aisha,Kolkata,Unknown,2022-08-03,2022-05-16,Unknown,15.0,50.0,DHL,1000.0,,Returned,0.0,5.0,Wrong Item,3.0,Mini Van,-10.0
10138,6678,Aisha,Delhi,Mumbai,2022-04-12,2021-12-03,Road,5.0,50.0,,0.0,1600.0,Cancelled,,9.0,NULL,2.0,Unknown,25.0
10139,8242,Vikram,Chennai,Chennai,2021-06-14,2021-12-20,Rail,20.0,,FedEx,,,,,4.0,Late,1.0,Mini Van,20.0
10140,9636,Aisha,Unknown,Chennai,2022-05-29,2022-10-24,Rail,25.0,200.0,,200.0,,Unknown,0.0,6.0,Late,4.0,Unknown,15.0
10141,6059,Ram,Kolkata,Unknown,2022-08-21,2023-04-27,Air,25.0,50.0,BlueDart,800.0,0.0,,1.0,3.0,NaN,0.0,Bike,15.0
10142,11668,NULL,Coimbatore,Delhi,2022-02-23,2022-12-06,Unknown,25.0,200.0,FedEx,500.0,2000.0,In Transit,,9.0,Late,0.0,Mini Van,30.0
10143,14914,Aisha,Chennai,Hyderabad,2022-09-10,2022-12-29,Rail,0.0,100.0,DHL,0.0,700.0,Delivered,1.0,2.0,NaN,,Truck,20.0
10144,8157,John,Bangalore,Delhi,2023-02-03,2022-01-06,,0.0,150.0,,,300.0,Returned,1.0,8.0,NULL,,,20.0
10145,10915,,Mumbai,Delhi,2022-09-05,2023-03-08,Rail,20.0,100.0,DHL,-100.0,1200.0,Returned,1.0,,Damaged,4.0,Unknown,10.0
10146,14789,John,Bangalore,Chennai,2021-02-07,2021-02-10,,-5.0,-20.0,DHL,500.0,700.0,Delivered,0.0,3.0,Late,1.0,Container,25.0
10147,7693,,,Coimbatore,2021-08-23,2023-05-16,,5.0,100.0,Gati,800.0,1600.0,Cancelled,1.0,8.0,Late,,Truck,-10.0
10148,8627,John,Unknown,Delhi,2022-12-30,2021-01-13,Road,25.0,100.0,FedEx,500.0,,Cancelled,,3.0,,,Truck,15.0
10149,14555,Vikram,Coimbatore,Delhi,2022-11-11,2023-06-08,Rail,25.0,100.0,FedEx,500.0,1600.0,In Transit,1.0,,NaN,1.0,Truck,-10.0
10150,10450,John,Coimbatore,,2021-07-14,2022-01-08,Road,25.0,300.0,BlueDart,0.0,2000.0,Delayed,1.0,-1.0,NaN,,Mini Van,-10.0
10151,6663,Vikram,Mumbai,Coimbatore,2022-03-21,2021-10-26,Unknown,0.0,50.0,ABC Logistics,,1600.0,In Transit,1.0,-1.0,,,,15.0
10152,14721,Vikram,Delhi,Chennai,2021-11-02,2021-11-06,,-5.0,150.0,DHL,,2000.0,In Transit,,4.0,Damaged,,Container,-10.0
10153,10592,Aisha,Mumbai,Hyderabad,2021-02-10,2022-02-10,Unknown,15.0,-20.0,DHL,0.0,300.0,Unknown,1.0,8.0,Wrong Item,2.0,Bike,25.0
10154,12392,Ram,,Pune,2021-08-20,2023-01-19,Rail,-5.0,-20.0,,-100.0,,In Transit,1.0,10.0,Wrong Item,1.0,Truck,
10155,6306,,Bangalore,Chennai,2021-12-01,2022-12-10,Unknown,0.0,150.0,BlueDart,1500.0,1600.0,Unknown,1.0,4.0,,5.0,Truck,25.0
10156,11776,Aisha,Coimbatore,Chennai,2021-03-12,2021-11-05,Unknown,15.0,-20.0,FedEx,200.0,2000.0,Delivered,0.0,,,2.0,Truck,
10157,10864,Aisha,Bangalore,Delhi,2021-11-09,2023-02-23,Rail,10.0,-20.0,Gati,1500.0,1600.0,Returned,,9.0,Damaged,3.0,Bike,
10158,14474,NULL,Chennai,,2022-01-06,2021-07-21,Road,20.0,400.0,FedEx,200.0,2000.0,Returned,0.0,9.0,Damaged,1.0,Unknown,20.0
10159,12526,Vikram,Unknown,Kolkata,2022-12-16,2023-05-27,Road,10.0,100.0,Gati,200.0,0.0,Delayed,,6.0,NULL,3.0,Mini Van,
10160,13901,Vikram,Hyderabad,Unknown,2021-11-23,2022-06-15,,20.0,-20.0,Gati,1500.0,,Cancelled,1.0,1.0,Wrong Item,2.0,Mini Van,25.0
10161,10575,,,Bangalore,2021-01-17,2022-06-23,,25.0,150.0,FedEx,0.0,,In Transit,,9.0,NULL,,,25.0
10162,10530,John,Hyderabad,,2021-02-25,2021-04-28,Rail,10.0,,,800.0,700.0,Delivered,,9.0,Late,5.0,Mini Van,10.0
10163,9413,John,,Kolkata,2021-03-20,2023-04-04,Rail,0.0,200.0,DHL,0.0,2000.0,Delivered,,7.0,NaN,0.0,Mini Van,20.0
